TIME;2017-Q3;2017-Q4;2018-Q1;2018-Q2;2018-Q3;2018-Q4;2019-Q1;2019-Q2;2019-Q3;2019-Q4;2020-Q1;2020-Q2;2020-Q3;2020-Q4;2021-Q1;2021-Q2;2021-Q3;2021-Q4;2022-Q1;2022-Q2;2022-Q3;2022-Q4;2023-Q1;2023-Q2;2023-Q3;2023-Q4
European Union - 27 countries (from 2020);83,3;82,0;81,8;81,2;81,0;79,9;80,2;80,0;79,4;77,8;79,5;87,6;89,5;90,0;92,1;90,3;89,3;87,4;87,0;85,9;84,6;83,4;83,3;82,9;82,4;81,7
Euro area - 19 countries  (2015-2022);89,7;88,2;88,2;87,7;87,5;86,2;86,7;86,5;86,0;84,2;86,3;94,8;97,0;97,3;99,6;97,7;96,9;94,8;94,6;93,6;92,3;90,9;90,7;90,2;89,8;88,7
Belgium;105,7;102,0;105,0;104,2;103,5;99,9;102,9;101,9;101,3;97,6;102,5;112,5;111,2;111,9;115,9;112,9;110,9;107,9;107,9;107,4;105,5;104,3;106,3;105,6;107,6;105,2
Bulgaria;25,5;25,1;23,8;23,3;22,6;22,1;20,7;20,1;20,3;20,0;20,0;21,1;24,9;24,6;24,3;24,1;23,3;23,9;22,0;21,3;23,1;22,6;22,1;21,5;21,0;23,1
Czechia;34,7;34,2;35,3;34,8;33,4;32,1;33,4;32,5;31,3;30,0;32,4;39,6;38,1;37,7;43,9;42,6;40,4;42,0;42,8;43,5;45,2;44,2;44,5;44,2;44,4;44,0
Denmark;36,1;35,9;35,5;35,0;34,9;34,0;33,4;34,9;34,5;33,7;33,3;41,5;42,2;42,3;40,5;39,5;38,9;36,0;32,6;31,5;30,4;29,8;29,5;30,2;30,2;29,3
Germany;65,9;65,2;64,1;63,0;62,7;61,9;61,7;61,1;61,0;59,6;60,6;66,8;69,3;68,8;69,6;69,1;68,9;69,0;67,6;67,4;66,8;66,1;65,6;64,6;64,7;63,6
Estonia;9,1;9,1;8,8;8,6;8,3;8,2;7,9;9,2;9,1;8,5;9,0;18,5;18,7;18,6;19,1;19,1;19,2;17,8;17,4;16,9;15,9;18,5;17,3;18,5;18,2;19,6
Ireland;72,3;67,4;68,3;67,8;66,7;62,9;64,5;62,9;61,3;57,1;58,5;61,8;60,9;58,1;60,0;58,3;56,6;54,4;52,3;50,5;48,4;44,4;43,5;43,1;43,5;43,7
Greece;176,9;179,5;181,8;181,6;187,4;186,4;187,3;185,0;182,7;180,6;180,9;191,9;200,4;207,0;210,3;209,1;203,7;195,0;190,5;184,4;177,5;172,7;169,4;167,2;165,6;161,9
Spain;102,4;101,8;102,3;101,7;101,8;100,4;101,3;101,2;100,2;98,2;101,9;113,4;117,3;120,3;125,3;122,3;120,6;116,8;115,9;114,5;114,0;111,6;111,2;111,2;109,8;107,7
France;100,1;98,5;99,0;99,0;99,1;98,2;99,2;99,0;99,8;97,9;101,0;113,0;115,2;114,9;117,5;114,1;115,3;113,0;114,8;113,4;113,6;111,9;112,5;112,0;112,0;110,6
Croatia;77,4;76,3;75,2;75,1;73,4;73,1;72,8;73,8;72,6;70,9;72,0;82,6;84,9;86,8;88,8;84,8;81,1;78,1;75,5;72,4;69,8;68,2;69,1;66,5;64,3;63,5
