TIME;;2019-01;;2019-02;;2019-03;;2019-04;;2019-05;;2019-06;;2019-07;;2019-08;;2019-09;;2019-10;;2019-11;;2019-12;;2020-01;;2020-02;;2020-03;;2020-04;;2020-05;;2020-06;;2020-07;;2020-08;;2020-09;;2020-10;;2020-11;;2020-12;;2021-01;;2021-02;;2021-03;;2021-04;;2021-05;;2021-06;;2021-07;;2021-08;;2021-09;;2021-10;;2021-11;;2021-12;;2022-01;;2022-02;;2022-03;;2022-04;;2022-05;;2022-06;;2022-07;;2022-08;;2022-09;;2022-10;;2022-11;;2022-12
European Union  27 countries (from 2020);;64 063 528;;62 102 519;;74 752 829;;85 305 836;;91 575 263;;102 111 918;;110 843 386;;111 585 552;;101 808 485;;92 721 130;;70 154 076;;71 003 389;;66 233 344;;63 217 643;;28 710 545;;907 988;;1 477 562;;4 975 462;;22 010 084;;30 699 710;;22 016 685;;17 491 728;;8 248 773;;11 741 306;;10 003 050;;6 903 112;;8 570 787;;10 074 958;;15 267 943;;27 076 296;;49 099 239;;59 440 598;;52 607 253;;53 859 530;;42 263 677;;40 021 965;;31 443 647;;35 451 984;;48 237 468;;64 836 730;;74 936 271;;84 510 890;;94 632 200;;95 723 823;;87 057 609;;81 217 442;;59 001 705;;61 031 507
Belgium;;2 264 061;;2 195 772;;2 652 471;;3 120 842;;3 110 135;;3 266 073;;3 660 942;;3 561 906;;3 335 969;;3 132 803;;2 622 544;;2 571 961;;2 356 798;;2 360 471;;1 067 318;;17 882;;23 217;;109 897;;795 949;;938 136;;582 576;;475 678;;327 523;;466 218;;368 966;;192 451;;210 012;;303 151;;512 422;;930 799;;1 886 049;;2 132 378;;1 925 341;;1 946 033;;1 679 377;;1 429 284;;1 172 147;;1 298 846;;1 746 131;;2 343 143;;2 560 118;;2 569 190;;3 214 492;;3 136 428;;2 911 324;;2 733 708;;2 150 001;;2 139 923
Bulgaria;;572 595;;537 044;;618 879;;678 766;;879 835;;1 459 266;;1 871 688;;1 892 362;;1 295 432;;718 887;;584 328;;633 438;;620 442;;596 149;;293 343;;29 572;;77 346;;157 153;;440 150;;547 295;;406 960;;268 221;;134 357;;167 168;;191 261;;191 261;;132 522;;162 877;;227 275;;411 911;;878 301;;1 074 693;;704 559;;461 440;;320 848;;389 332;;343 476;;342 961;;431 752;;579 310;;697 535;;955 361;;1 311 984;;1 330 091;;995 689;;714 856;;539 312;;587 717
Czechia;;1 010 412;;1 011 474;;1 269 877;;1 432 231;;1 541 903;;1 936 153;;2 179 652;;2 204 750;;1 998 819;;1 641 491;;1 279 292;;1 346 755;;1 084 912;;1 038 847;;446 896;;4 998;;7 795;;38 093;;275 291;;380 334;;263 010;;120 832;;67 862;;105 609;;91 189;;79 609;;89 543;;104 228;;142 977;;336 704;;707 553;;804 884;;726 886;;656 647;;558 583;;497 756;;354 536;;450 152;;624 668;;826 412;;960 604;;1 290 330;;1 566 550;;1 532 626;;1 311 069;;1 059 011;;775 670;;838 465
Denmark;;2 249 424;;2 273 511;;2 666 794;;2 893 531;;3 079 080;;3 408 003;;3 645 767;;3 425 582;;3 278 160;;3 173 419;;2 456 493;;2 345 144;;2 256 354;;2 284 179;;984 780;;31 413;;50 145;;172 333;;656 284;;727 584;;565 745;;467 025;;217 980;;281 361;;194 960;;117 755;;166 529;;204 280;;289 022;;592 745;;1 502 531;;1 536 906;;1 551 465;;1 886 661;;1 536 496;;1 272 395;;959 937;;1 198 966;;1 663 649;;2 197 428;;2 517 304;;2 744 009;;3 045 924;;2 862 486;;2 784 912;;2 759 209;;2 023 232;;1 967 852
Germany;;14 230 587;;14 013 174;;17 275 824;;19 246 280;;20 309 970;;21 657 636;;22 907 255;;22 801 602;;22 226 241;;21 626 960;;15 743 393;;15 374 681;;14 115 894;;13 695 828;;6 525 893;;274 314;;406 128;;1 336 021;;4 571 718;;5 639 913;;4 325 298;;3 681 950;;1 562 583;;1 903 372;;1 673 774;;1 207 208;;1 803 848;;2 113 828;;3 028 130;;5 178 133;;9 418 557;;11 234 484;;10 654 569;;11 881 836;;8 227 971;;7 442 548;;5 863 218;;5 970 070;;8 819 507;;12 770 935;;14 810 121;;16 287 045;;16 951 262;;17 559 242;;16 838 243;;16 696 727;;11 663 982;;11 266 852
Estonia;;204 783;;194 398;;230 789;;265 978;;300 446;;316 964;;318 394;;325 152;;310 000;;315 559;;241 243;;234 617;;213 361;;211 228;;103 270;;2 838;;10 430;;24 788;;75 126;;83 837;;43 096;;34 594;;25 626;;29 971;;27 323;;24 757;;32 758;;44 348;;54 531;;97 112;;158 514;;176 861;;162 977;;184 622;;163 275;;165 900;;131 861;;126 270;;171 744;;216 222;;271 138;;278 647;;282 461;;285 313;;273 602;;282 617;;206 487;;205 174
Ireland;;2 350 587;;2 289 445;;2 783 158;;3 227 915;;3 468 090;;3 767 700;;4 034 682;;4 011 879;;3 533 302;;3 318 101;;2 591 968;;2 617 086;;2 384 767;;2 340 659;;1 181 742;;25 224;;44 797;;93 619;;429 941;;590 105;;429 370;;285 895;;176 829;;293 815;;206 074;;97 721;;113 443;;123 984;;158 180;;312 078;;709 498;;1 397 930;;1 462 549;;1 680 145;;1 510 470;;1 334 621;;1 095 014;;1 512 819;;2 079 737;;2 782 543;;3 010 972;;3 319 099;;3 585 914;;3 598 761;;3 231 544;;3 129 992;;2 543 498;;2 540 743
Greece;;1 651 841;;1 567 622;;1 957 318;;3 133 971;;5 176 387;;7 632 082;;8 993 542;;9 284 768;;7 690 182;;4 946 998;;2 055 991;;1 994 966;;1 907 562;;1 772 145;;853 534;;26 861;;99 214;;388 499;;2 418 138;;4 169 092;;2 956 123;;2 081 328;;366 349;;295 778;;289 174;;244 226;;300 876;;404 733;;1 020 067;;2 764 366;;6 142 240;;7 520 112;;5 914 540;;4 572 483;;1 628 935;;1 433 444;;1 011 458;;1 069 989;;1 555 665;;3 141 098;;5 475 709;;7 893 462;;9 882 018;;10 091 910;;8 294 275;;5 615 668;;1 951 581;;1 899 341
Spain;;13 527 155;;13 251 491;;16 247 565;;19 316 563;;20 656 354;;22 980 282;;24 754 461;;24 927 378;;22 820 135;;20 655 482;;14 802 557;;14 694 975;;13 683 906;;13 635 526;;6 612 349;;85 746;;174 910;;665 652;;5 296 001;;6 466 324;;3 654 313;;3 033 816;;1 983 846;;2 644 271;;1 963 069;;1 487 776;;2 153 463;;2 559 973;;4 175 357;;6 754 329;;11 606 322;;13 969 874;;12 890 334;;13 987 695;;10 678 316;;9 844 599;;8 158 646;;9 455 486;;12 517 839;;16 837 570;;18 429 397;;20 408 974;;22 656 815;;22 869 357;;20 854 102;;20 106 178;;14 348 434;;14 502 560
